,Date,Open,High,Low,Close,Adj Close,Volume,percentile_last_30,Open_t1,High_t1,Low_t1,Close_t1,Adj Close_t1,Volume_t1,T10Y2Y,T10YIE,DFF,VIXCLS,Open_SP500,High_SP500,Low_SP500,Close_SP500,Adj Close_SP500,Volume_SP500,USRECD
30,2020-02-14,264.6099853515625,267.5,263.94000244140625,265.4200134277344,265.4200134277344,275087,96.66666666666667,262.6499938964844,265.9800109863281,261.70001220703125,265.95001220703125,265.95001220703125,353716.0,0.17,1.66,1.58,13.68,3378.080078125,3380.68994140625,3366.14990234375,3380.159912109375,3380.159912109375,3419700000,0
31,2020-02-18,264.3299865722656,265.5129089355469,258.7749938964844,261.1099853515625,261.1099853515625,276633,80.0,264.6099853515625,267.5,263.94000244140625,265.4200134277344,265.4200134277344,275087.0,0.14,1.65,1.59,14.83,3369.0400390625,3375.010009765625,3355.610107421875,3370.2900390625,3370.2900390625,3750400000,0
32,2020-02-19,263.17999267578125,267.3999938964844,261.92999267578125,266.989990234375,266.989990234375,266087,100.0,264.3299865722656,265.5129089355469,258.7749938964844,261.1099853515625,261.1099853515625,276633.0,0.14,1.65,1.59,14.38,3380.389892578125,3393.52001953125,3378.830078125,3386.14990234375,3386.14990234375,3614200000,0
33,2020-02-20,264.1199951171875,270.95001220703125,263.010009765625,270.7900085449219,270.7900085449219,390627,100.0,263.17999267578125,267.3999938964844,261.92999267578125,266.989990234375,266.989990234375,266087.0,0.13,1.63,1.59,15.56,3380.449951171875,3389.14990234375,3341.02001953125,3373.22998046875,3373.22998046875,4019180000,0
34,2020-02-21,268.3399963378906,270.0,259.510009765625,261.4200134277344,261.4200134277344,561191,73.33333333333334,264.1199951171875,270.95001220703125,263.010009765625,270.7900085449219,270.7900085449219,390627.0,0.12,1.61,1.58,17.08,3360.5,3360.760009765625,3328.449951171875,3337.75,3337.75,3908780000,0
35,2020-02-24,249.6999969482422,250.35000610351562,241.5,243.27000427246094,243.27000427246094,566162,3.3333333333333335,268.3399963378906,270.0,259.510009765625,261.4200134277344,261.4200134277344,561191.0,0.12,1.59,1.58,25.03,3257.610107421875,3259.81005859375,3214.64990234375,3225.889892578125,3225.889892578125,4851160000,0
36,2020-02-25,244.8699951171875,245.1750030517578,229.8699951171875,232.16000366210938,232.16000366210938,1220724,0.0,249.6999969482422,250.35000610351562,241.5,243.27000427246094,243.27000427246094,566162.0,0.13,1.53,1.58,27.85,3238.93994140625,3246.989990234375,3118.77001953125,3128.2099609375,3128.2099609375,5596760000,0
37,2020-02-26,234.8800048828125,235.8800048828125,224.19000244140625,224.3000030517578,224.3000030517578,600398,0.0,244.8699951171875,245.1750030517578,229.8699951171875,232.16000366210938,232.16000366210938,1220724.0,0.17,1.54,1.58,27.56,3139.89990234375,3182.510009765625,3108.989990234375,3116.389892578125,3116.389892578125,5484650000,0
38,2020-02-27,216.27000427246094,223.61000061035156,208.24000549316406,211.3699951171875,211.3699951171875,781413,0.0,234.8800048828125,235.8800048828125,224.19000244140625,224.3000030517578,224.3000030517578,600398.0,0.19,1.53,1.58,39.16,3062.5400390625,3097.070068359375,2977.389892578125,2978.760009765625,2978.760009765625,7064710000,0
39,2020-02-28,203.1199951171875,211.2899932861328,199.02999877929688,208.16000366210938,208.16000366210938,1141205,0.0,216.27000427246094,223.61000061035156,208.24000549316406,211.3699951171875,211.3699951171875,781413.0,0.27,1.41,1.58,40.11,2916.89990234375,2959.719970703125,2855.840087890625,2954.219970703125,2954.219970703125,8569570000,0
40,2020-03-02,209.55999755859375,216.88999938964844,202.13999938964844,216.75,216.75,661126,6.666666666666667,203.1199951171875,211.2899932861328,199.02999877929688,208.16000366210938,208.16000366210938,1141205.0,0.26,1.41,1.59,33.42,2974.280029296875,3090.9599609375,2945.18994140625,3090.22998046875,3090.22998046875,6381330000,1
41,2020-03-03,215.75999450683594,218.42999267578125,195.8300018310547,198.6300048828125,198.6300048828125,894915,0.0,209.55999755859375,216.88999938964844,202.13999938964844,216.75,216.75,661126.0,0.31,1.45,1.59,36.82,3096.4599609375,3136.719970703125,2976.6298828125,3003.3701171875,3003.3701171875,6376510000,1
42,2020-03-04,202.1199951171875,202.70750427246094,193.0399932861328,202.3800048828125,202.3800048828125,831384,3.3333333333333335,215.75999450683594,218.42999267578125,195.8300018310547,198.6300048828125,198.6300048828125,894915.0,0.35,1.46,1.09,31.99,3045.75,3130.969970703125,3034.3798828125,3130.1201171875,3130.1201171875,5073020000,1
43,2020-03-05,194.77000427246094,194.77000427246094,184.0,185.05999755859375,185.05999755859375,828313,0.0,202.1199951171875,202.70750427246094,193.0399932861328,202.3800048828125,202.3800048828125,831384.0,0.33,1.4,1.09,39.62,3075.699951171875,3083.0400390625,2999.830078125,3023.93994140625,3023.93994140625,5579290000,1
44,2020-03-06,174.99000549316406,182.77999877929688,169.24000549316406,174.44000244140625,174.44000244140625,967918,0.0,194.77000427246094,194.77000427246094,184.0,185.05999755859375,185.05999755859375,828313.0,0.25,1.31,1.09,41.94,2954.199951171875,2985.929931640625,2901.5400390625,2972.3701171875,2972.3701171875,6555240000,1
45,2020-03-09,153.72999572753906,160.3300018310547,144.6699981689453,148.14999389648438,148.14999389648438,1554183,0.0,174.99000549316406,182.77999877929688,169.24000549316406,174.44000244140625,174.44000244140625,967918.0,0.16,0.99,1.09,54.46,2863.889892578125,2863.889892578125,2734.429931640625,2746.56005859375,2746.56005859375,8441290000,1
